Profile,Method,O%,U%,Settling_s,SS_Time_s,ITAE,Bandwidth_rad_s,GainMargin_dB,PhaseMargin_deg
A,BASELINE,3.6587,99.99,957.34,970.07,3223476.7802,0.0142,inf,84.9131
A,TD3,12.7802,99.9724,953.05,956.57,2527983.6672,0.0141,inf,46.941
B,BASELINE,7.6124,99.99,914.82,927.7,3174635.3555,0.0142,inf,84.9131
B,TD3,13.472,99.9724,906.31,911.29,2455155.5061,0.0142,inf,45.376
C,BASELINE,11.2542,99.99,940.89,951.75,3687265.8283,0.0142,inf,84.9131
C,TD3,20.9281,99.9724,937.86,946.51,4486584.8616,0.0141,inf,47.3495
D,BASELINE,14.8164,99.99,915.9,927.09,3654518.4642,0.0142,inf,84.9131
D,TD3,22.6291,99.9724,904.72,908.06,4160888.1515,0.0141,inf,48.2356
E,BASELINE,21.643,99.99,868.44,879.31,3268394.1776,0.0142,inf,84.9131
E,TD3,22.5612,99.9724,856.77,865.69,2778041.7562,0.0142,inf,44.2757
F,BASELINE,33.7255,99.9943,427.95,439.3,940819.243,0.0142,inf,84.9131
F,TD3,21.9727,99.9994,420.19,422.01,597404.3836,0.0141,inf,50.0715
